time,3i Group PLC_035999.txt,Admiral Group_036346.txt,Anglo American PLC_035918.txt,Antofagasta PLC_028149.txt,Ashtead Group_028090.txt,Associated British Foods PLC_035919.txt,Astrazeneca PLC_035998.txt,Aviva PLC_035907.txt,Barclays PLC_035976.txt,Barratt Developments PLC_028259.txt,Berkeley Group Holdings Plc_036347.txt,BHP Group Ltd_035928.txt,BP PLC_035908.txt,British American Tobacco PLC_035924.txt,British Land Co. PLC- The_035967.txt,BT Group PLC_036000.txt,Bunzl PLC_035961.txt,Burberry Group PLC_028372.txt,Carnival PLC_028002.txt,Centrica PLC_035920.txt,Coca-Cola HBC AG_0280F6.txt,Compass Group PLC_035981.txt,CRH PLC_028592.txt,Croda International_028589.txt,D S Smith PLC_030126.txt,DCC PLC_028662.txt,Diageo PLC_035994.txt,Direkt Line Insurance Group_0280J4.txt,Easyjet_028875.txt,Evraz PLC_02812H.txt,Experian PLC_036355.txt,Ferguson Plc._035956.txt,Fresnillo PLC_02809Z.txt,GlaxoSmithKline PLC_035911.txt,Glencore PLC_0280TA.txt,GVC Holdings PLC_0280YJ.txt,Halma_029131.txt,Hargreaves Lansdown Plc_02807C.txt,HSBC Holdings PLC_035917.txt,Imperial Brands Plc_035932.txt,Informa PLC_029258.txt,InterContinental Hotels Group_028005.txt,Internat. Cons. Airl. Group SA_035946.txt,Intertek Group_029309.txt,ITV_035984.txt,Johnson Matthey_035962.txt,Just-Eat PLC_0281HA.txt,Kingfisher PLC_035992.txt,Land Securities Group PLC_035991.txt,Legal - General Group PLC_035990.txt,Lloyds Banking Group PLC_035948.txt,London Stock Exchange LSE_029478.txt,Marks - Spencer Group PLC_035972.txt,Melrose Industries Plc._030553.txt,Micro Focus International PLC_02803D.txt,Mondi PLC_036371.txt,Morrison Supermarkets plc_035940.txt,National Grid PLC_035983.txt,Next PLC_035951.txt,NMC Health PLC_02806Y.txt,Ocado Group PLC_0281MT.txt,Paddy Power Betfair PLC_029791.txt,Pearson PLC_035960.txt,Persimmon PLC_029896.txt,Prudential PLC_035971.txt,Reckitt Benckiser Group_035906.txt,RELX PLC_035970.txt,Rentokil Initial_035944.txt,Rio Tinto PLC_035988.txt,Rolls Royce Holdings PLC_035902.txt,Royal Bank of Scotland PLC_035987.txt,Royal Dutch Shell A_036335.txt,Royal Dutch Shell B_035968.txt,Royal Mail Group Plc_0280WH.txt,RSA Insurance Group PLC_035921.txt,Sage Group PLC- The_035937.txt,Sainsbury PLC- J._035952.txt,Schroders PLC_035969.txt,Scottish - Southern Energy Plc_035985.txt,Scottish Mortgage Investment Trust plc_030137.txt,Segro PLC_030122.txt,Severn Trent PLC_035941.txt,Smith - Nephew PLC_035910.txt,Smiths Group_035958.txt,Smurfit Kappa Group PLC_02806U.txt,St. Jamess Place PLC_030192.txt,Standard Chartered PLC_035959.txt,Standard Life Aberdeen Plc_036365.txt,Taylor Wimpey PLC_036366.txt,Tesco PLC_035966.txt,TUI AG_02821N.txt,Unilever PLC_035922.txt,United Utilities Group PLC_036341.txt,Vodafone Group PLC_035943.txt,Whitbread PLC_035895.txt,WPP PLC_035947.txt
2017-01-02,-2.1523049652702606,-1.347635347625865,-1.2942395742881905,-2.2950473460457723,-1.1992920129923537,0.1086030933594857,-1.4565473735442838,-0.3173860860151122,1.2884246093752418,-1.912383157182579,-2.06061822404787,-0.9336071543058024,0.1496289270077577,0.2326305010798831,0.0389744623824205,2.4185334377721164,-1.0443513674522569,-1.6638083316137702,-1.823878414146212,1.9497291147919076,-2.512756028490754,-1.017688537761094,0.9759560669496824,-1.9923881221550448,-1.0961914860238626,-2.057829156328767,-2.1052386137394934,0.6885243007788284,-1.4794314272313045,-1.1408955509484011,-0.7080399586719076,-0.6462373104212655,-0.2359860651892029,0.4902619006428018,-1.685522541910692,-1.6663591336000223,-2.12632222929555,-1.556456009861813,-1.072212289178116,1.0218017981701295,-0.5845534129550691,-1.9044448930835645,-3.0851662901567978,-2.047200259657856,1.627165611839957,-0.0015426993698631,-1.0468189457579598,1.308345012555347,1.3100543334443655,-0.9432976678342966,-0.494705274006015,-2.07068244058514,1.2115255233775857,-0.8253621433083935,0.5009724683731847,-1.97782547651216,-0.5581329431388458,0.7603568698237699,0.3287913255782365,-1.89936550817521,-0.9011842824714464,1.1901066507889977,0.5356928108568904,-2.46123919968218,-0.9789296863929862,0.2354982996458366,-1.7923005256040845,-2.084325620997189,-1.488466504042224,-2.41140967123813,-1.501772639899548,-0.4379080743616118,-0.1257630295880056,0.3448536741286748,-0.6933652410292439,-0.1925326822033396,-0.7033918189876669,-0.6492548237264494,1.5852814830124056,-2.0713468612308352,-1.6268520907216824,0.6653262764717125,-1.564497294383431,-1.467275571868527,-0.4067013809826921,-1.6699188254374402,-0.841938805892862,0.1094760435246321,-1.7122472967896532,0.012646596927326,-0.9870978042204968,-2.8690132459862547,0.7337714743981136,-0.0074768774018428,-0.8989464607106978,1.5923269727784994
2017-01-03,-2.0538101837202496,-1.1898260774628404,-1.2861100644690244,-2.1363913618537738,-1.1368597153332585,-0.0026872657387997,-1.453485538741176,-0.1347155027536144,1.7199105220210675,-1.862594422764712,-1.989119957114824,-0.7839953566191308,0.3237633311629142,0.2204137337556779,-0.0191798837973412,2.529278434981414,-0.9342146232959132,-1.6472568275949504,-1.902106610419997,,-2.5003802727382887,-1.365217841683254,0.651908754447387,-1.9244079268615584,-0.980622610672628,-1.6512638354843387,-2.16072397718191,0.8519389709921136,-1.545063740817725,-1.148101003248497,-0.6242884988398515,-0.654328574584525,-0.0574231058680274,0.4902619006428018,-1.4551878516286243,-1.6095713923304031,-2.2024084900471173,-1.3447085436691288,-0.857533174575643,1.0034582400669596,-0.5463473650485767,-1.7757887925129017,-3.0102959141848795,-2.043949189238853,1.7010906081273598,0.0128865699034822,-1.0896827827806523,1.06472506875851,1.0127319662135903,-0.8216801174043392,-0.012032677326684,-2.100308995829422,1.0224656654840758,-0.814018517272116,0.4494266699061515,-2.028674738494442,-0.5511510482787033,0.6536421955738241,0.0068940202270389,-1.885023517543108,-0.9080319251372604,1.1901066507889977,0.5136375233007316,-2.5219205713167168,-0.895911490324654,0.0637468844840323,-1.8148967348691205,-2.0757591343579413,-1.554775973060261,-2.387445556993508,-1.186715773091336,-0.3677289153189483,-0.0364104698393104,0.3448536741286748,-0.957811128997738,-0.2552039668788486,-0.6084194938169551,-0.4987727327362666,1.6005322018063086,-2.046823537169657,-1.702887580602768,0.6653262764717125,-1.7012040239458264,-1.498319657575378,-0.4065581399527402,-1.3577248489392568,-0.6419240837899364,0.2359637313716486,-1.5962135129954491,-0.0136950628823518,-1.006700145357929,-2.931364272169356,0.7100008617358547,0.1009818063875381,-0.8817733366677462,1.6244803729295918
2017-01-04,-1.9922509452514932,-1.3250911661740048,-1.365372785205892,-2.120525763434574,-1.155222155821228,-0.3332850971778239,-1.3769396686634845,-0.1453051017832653,1.8782071290272293,-1.500668622573309,-1.9997122929567568,-0.8939142283889296,0.368993046527889,0.194051235845553,-0.0482570568872246,2.7507684294000088,-1.1623550219054803,-1.8182890357894248,-1.8051036470405029,,-2.463253005480892,-1.4069213581539122,0.6190343894109223,-1.9152214139840595,-1.0016351334637623,-1.6164153794119596,-2.0346208784491484,0.8566079615696355,-1.4624940559831965,-1.1713185717710284,-0.6661642287558789,-0.6078038056457812,0.1330440507412268,0.5720893223572655,-1.5281510143887824,-1.5414261028068603,-2.15053149408014,-1.3273521939812043,-0.7538118045991695,1.0131695355333432,-0.6705170207446748,-1.7058669987244983,-2.938990794211624,-2.0699577525908808,1.396149998441822,-0.0231866032798812,-1.1706478082679606,1.0177621880265897,1.0262466192695343,-0.5436971449930162,0.0222805404467294,-2.068566258067691,0.297163301565342,-0.938798403671172,0.4265174261430255,-2.07225982019354,-0.4743502048171273,0.563527581762758,-1.028315623742777,-1.8190503606354385,-0.913852421403202,1.1836186563060975,0.4077721430311705,-2.332291284958789,-0.8642855108700492,0.00649641276343,-1.9278777811943049,-2.1528575141111665,-1.6346487425592584,-2.4174006997992854,-1.0193418125994749,-0.2689582470366792,-0.0185399578895714,0.3676707599435672,-0.957811128997738,-0.2238683245410934,-0.6084194938169551,-0.5722639864756586,1.4556503732642398,-2.050093313711148,-1.6029978193864398,0.5602185415686565,-1.7163936605638697,-1.4879716290064275,-0.4062716578928363,-1.2016278606901627,-0.5658621472155838,0.2266631660887799,-1.2539138508025462,-0.038155175562768,-0.9674954630830656,-2.8868278248957115,0.6386890237490794,0.2413401030561481,-0.7134767210468355,1.5780365727113477
2017-01-05,-1.9245357829358611,-1.3363632568999328,-1.3552108979319353,-2.035909238532175,-1.1221697629428828,-0.0877916579904292,-1.2269097633112092,-0.2220796947482425,1.7531017460707463,-1.2402352425414014,-1.7719770723552055,-0.872541114433692,0.3237633311629142,0.1792625175057264,-0.0191798837973412,2.8444757347309526,-1.256757945468061,-1.9231152279086183,-1.6549055101948364,,-2.5168812804082425,-1.5737354240365502,0.6378197408603302,-1.8435666135395736,-0.85980060462361,-1.442173099050062,-1.979135515006732,0.5297786211430672,-1.2677142866299498,-1.1993397751602908,-0.7429364002685983,-0.6462373104212655,0.4663615748074215,0.6754502761018513,-1.2992469743569146,-1.601999693494454,-2.109029897306557,-1.3065245743556944,-0.9612545445521188,1.0174856668517371,-0.4508322452823483,-1.6862888964637472,-2.602074102337989,-2.118723808875933,1.5439999910166278,-0.1422280747849842,-1.0611068914321904,1.1028824093531948,0.9992173131576464,-0.9606716036100026,-0.0051700337720023,-2.081263353172383,0.5515347467311535,-0.9274547776348936,0.3826080422637015,-1.99961801736171,-0.3905674664954089,0.6322992607238341,-1.0222706039239753,-1.7616823981070302,-0.9210424462023068,1.332842529412809,0.4827601207221098,-1.8392551404281785,-1.1884518002797262,-0.0591732459749072,-1.9843683043568952,-2.0928921076364366,-1.6331417091724851,-2.7528982992239937,-1.1817930095474585,-0.3287404936285777,-0.1104454479168002,0.2635678059131155,-1.0107003065914355,-0.2160344139566549,-0.6666283382764238,-0.5687644029642585,1.5242786078367982,-2.0304746544622057,-1.5224896536299974,0.6462157792166118,-1.579686931001477,-1.3741433147479734,-0.4056390100105488,-1.159055954804047,-0.465854786164121,-0.0542139054538608,-0.7897787156257309,-0.2808747552376694,-0.9478931219456336,-2.845854293403958,0.7242632293332104,0.4008381674522965,-0.4696183596369417,1.6423433730135324
2017-01-06,-1.912223935242109,-1.3138190754480727,-1.395858447027765,-2.094083099402574,-1.155222155821228,-0.1859890336653873,-1.2258891517101729,-0.2379640932927211,1.890972984430952,-1.309173490196906,-1.840827255327768,-0.869487812440086,0.2604417296519471,0.1715466644588611,0.2425146740115916,2.848126668704886,-1.264624855764944,-1.7962203637643308,-1.623614231685322,,-2.4343762420584723,-1.6154389405072085,0.6800867816215007,-1.8968483882290643,-0.9403486086562892,-1.6628799875084648,-1.936260461437594,0.4690817436352741,-1.2507769153818418,-1.1977385635380473,-0.7429364002685983,-0.5997125414825216,0.2719263524354744,0.6754502761018513,-1.367918186366475,-1.6360723382562254,-2.043319035748385,-1.292639494605354,-0.7803451783140799,1.0131695355333432,-0.4699352692355936,-1.8261324840405544,-2.627030894328628,-2.048825794867359,1.585582801428293,-0.0809036803732642,,1.141039749947881,1.1884224559408672,-0.7695583100772173,0.2807734476731004,-2.0495206154106524,0.6512208536204595,-0.7686440131270048,0.3749716276759924,-2.115844901892641,-0.1671468309708264,0.6749851304238141,-1.0071580543769705,-1.7401694121588769,-0.9203576819357256,1.2420106066522028,0.491582235744573,-1.8620106547911293,-1.097527109347745,-0.0995853436600369,-1.9052815719292668,-2.0871811165436043,-1.6798597441624654,-2.621095670878572,-1.1177970834770408,-0.3079466687270479,-0.0976807965241302,0.2977934346354561,-0.9445888345993138,-0.1533631292811459,-0.6206739873873696,-0.5757635699870575,1.4861518108520444,-1.9438255761127117,-1.4017274049953317,0.6318829062752853,-1.7012040239458264,-1.177530771937915,-0.4054360852181169,-1.0171496018503274,-0.3897928495897684,-0.0393330010012705,-0.8419939183331221,-0.2639408310743036,-0.9772966336517812,-2.863668872313417,0.6957384941385006,0.4816505200796787,-0.3322333672933402,1.6780693731814125
2017-01-09,-1.8876002398546072,-1.3363632568999328,-1.3165957262908965,-1.988312443274576,-1.1882745486995725,-0.1434368375395726,-1.1095394291920817,-0.3147386862576983,1.8296968784930832,-1.2785342690166812,-1.8964370184979145,-0.7259826187406264,0.2378268719694597,0.3014301907477703,-0.062795643432165,2.882202052461593,-1.0286175468584935,-1.641739659588677,-1.4546413277339465,1.8361446663810923,-2.3477459517912123,-1.6432412848209808,0.7505318495567815,-1.8472412186905736,-0.929842347260722,-1.674496139532592,-1.805113238755521,0.6231584326935156,,-1.2609864226166674,-0.673143517075218,-0.5774615650335577,0.3552557334520228,0.7831179362524606,-1.0746348850756446,-1.715575176033692,-1.936106577416632,-1.2891682246677691,-0.7827573031972546,1.181498656950679,-0.2693535177265142,-1.7282419727367888,-2.61633512633264,-2.0504513300768603,1.677989046787547,0.0201012045401549,,1.2232247912287415,0.8775854356541478,-0.839054053180049,0.1252201937669647,-2.045288250375754,0.7887189320884646,-0.8026748912358385,0.4150628042614628,-2.1085807216094565,-0.0903459875092504,0.749685402398775,-1.1008558615684,-1.7502088056013485,-0.9100862179370044,1.3068905514812084,0.5356928108568904,-1.843047726155336,-1.1963582951433782,0.095739795151427,-1.7245118978089742,-2.047204178893785,-1.565325206767676,-2.4952840710943063,-1.3639352606709554,-0.3729273715443298,-0.1768216351586872,0.2336203807810677,-0.9974780121930112,0.0581524564986964,-0.5348925323944689,-0.530268984338863,1.470901092058143,-1.84246250332651,-1.455399515499628,0.6271052819615109,-1.579686931001477,-1.115442600524212,-0.4050182988807572,-1.0597215077364426,-0.3700730882556767,-0.1044369579813531,-0.78397702643602,-0.2093759643256827,-0.9184896102394868,-2.683741625327894,0.7052467392034039,0.3370389416938367,-0.5932648527461832,1.767384373601114
2017-01-10,-2.0045627929452445,-1.8774236117445864,-0.9792210687955086,-1.7873481966313771,-1.1221697629428828,-0.1565298209629,-1.0023752110833135,-0.3067964869854589,1.9420364060458415,-1.0583148667838165,-1.6872383856197457,-0.3626396815015681,0.197120128140982,0.2975722642243372,-0.0046412972524007,2.924796282157476,-1.0522182777491396,-1.4651902833879296,-1.28253929593162,1.7256300679273278,-2.459127753563404,-1.5320319075658897,0.8820293097026407,-1.860102336719071,-0.8703068660191772,-1.9300514840633745,-1.8252897345527623,0.1095694691660482,,-1.247376123827597,-0.673143517075218,-0.5187998998499254,0.6012758107389764,0.765891110628362,-0.8314243425417853,-1.73829027254154,-1.8703957158584597,-1.2822256847925992,-0.7224541811179076,1.12970508112996,-0.2502504937732689,-1.5660234111476914,-2.409550278410197,-2.0699577525908808,1.6641281099836585,0.0381377911318374,,1.1586508302223506,0.9451587009338702,-0.8738019247314649,0.4363267015792335,-1.9881513224046383,0.8574679713224679,-0.6665513788005039,0.4169719079083903,-1.9923538370785256,0.5100969704630633,0.5587847073516498,-0.927061541777846,-1.7616823981070302,-0.9018690467380276,1.1836186563060975,0.5356928108568904,-1.6534184397974083,-1.3544881924163907,0.0620630470804843,-1.7697043163390482,-2.0500596744402,-1.081567489613365,-2.4174006997992854,-1.4033173690219818,-0.4041181088966263,-0.2049038682225625,0.1765776662438334,-1.1429232505756814,-0.0906918446056369,-0.4123475966903251,-0.5127710667818648,1.3870221386916817,-1.7509087601647808,-1.416636324579858,0.5411080443135556,-1.4885491112932143,-0.7739576577488472,-0.4040872321860697,-0.960387060668838,-0.3193651305394425,-0.0858358274156149,-0.4706858101916688,0.2440768938266501,-0.849881416258476,-2.717589325255863,0.633934901216627,0.4348644211901414,0.0455753616515657,1.81382817381936
2017-01-11,-1.955315402170239,-1.9901445190038904,-0.7861452105903168,-1.8085023278569776,-1.0523924890886007,-0.0452394618646145,-1.1717967368552706,-0.4391664748561115,1.837356391735317,-1.1732119462096595,-1.8222906676043855,-0.2405076017573474,0.2333039004329626,0.350297260044588,0.0535130489273609,3.147503254567383,-0.989282995374085,-1.3107095792122758,-1.2324732503163964,1.685722018485691,-2.475628761233358,-1.6154389405072085,1.0041340941237942,-1.812332469756081,-0.8037672105139203,-1.8022738117979835,-1.782414680983625,-0.1145420785550278,,-1.1336900986483054,-0.6452263637978652,-0.5835300131560027,0.398904456841644,0.6582234504777527,-0.7513079285306316,-1.844294056244829,-1.8150602534936835,-1.320409654106034,-0.625969185790956,1.2030793135426454,-0.3075595656330049,-1.5856015134084445,-2.3685498344255755,-2.0000597385823067,1.6317859241079191,0.0994621855435573,,1.114623129536175,0.8775854356541478,-1.0301673467128345,0.3814255531417751,-2.026242607718716,0.8815301350543695,-0.5871459965465611,0.4265174261430255,-2.0940523610430906,0.0562738045537559,0.5492989585294313,-0.9497303660983536,-1.767419194359871,-0.9018690467380276,1.0927867335454895,0.5180485808119625,-1.6837591256146778,-1.2714699963480598,0.0149155997811651,-1.7584062117065302,-2.0157937278832114,-0.9233289840021424,-2.387445556993508,-1.595305147233237,-0.2741567032620625,-0.0670456331817194,0.1466302411117856,-1.3015907833567784,0.0424846353298195,-0.3326933884826324,-0.5197702338046638,1.3946474980886323,-1.7198458830206222,-1.4196181084967645,0.5649961658824325,-1.4429802014390842,-0.473864829249285,-0.4044214612559575,-0.8326713430104897,-0.2813341622522661,-0.2290645327717969,-0.7201584453492084,0.0860269349685761,-1.1145130216138028,-2.653456841181816,0.6672137589437892,0.5560829501312129,-0.0574633826061347,1.817400773836147
2017-01-12,-1.9860950214046176,-2.1366816984409827,-0.6824939603959503,-1.8032137950505776,-1.1405322034308525,-0.4445754562761094,-1.2156830356998145,-0.4418138746135231,1.7377827195862785,-1.2306604859225796,-1.864660010972116,-0.1305887299875475,0.280795101566187,0.3400094559820994,-0.1791043357916911,3.0294563894102198,-0.9027469821083872,-1.2334692271244485,-1.542256907560586,1.7317697678414266,,-1.5042295632521172,0.9900450805367376,-1.7590506950665916,-0.6234097232233573,-1.8835868759668688,-1.7698043711103475,-0.3713365603187594,,-1.0896567790366076,-0.5475163273271322,-0.6017353575233362,0.5615951531120487,0.5247155518909976,-0.6797754160206732,-1.8745808515886253,-1.832352585482676,-1.3481798136067138,-0.6790359332207789,1.14912767206273,-0.3648686374927426,-1.6107733591722706,-2.4024197664128724,-1.9350383302022376,1.4700749947292249,0.1355353587269222,,1.129299029764901,0.7424389050947054,-1.08228915403996,0.3105115697433901,-2.028358790236165,1.0362154733308766,-0.5644587444740039,0.4398811516715156,-1.425747774990237,0.0213643302530407,0.7484996837959984,-1.1069008813872017,-1.8219187587618584,-0.8854347043400741,1.1446906894086946,0.4871711782333421,-1.7254775686134216,-1.2754232437798845,0.1715124783110473,-1.656723270013866,-2.0329267011617054,-0.7470060777496368,-2.303571157137331,-1.802061216076125,-0.2299698253463104,-0.0134340973325024,0.1124046123894451,-0.9049219514040384,-0.0358544705145663,-0.3817113627642899,-0.6142589886124541,1.539529326630701,-1.7688925311429773,-1.4449632717904586,0.6175500333339605,-1.5948765676195202,-0.515256943525086,-0.4034903945612701,-1.0313402371456992,-0.2841512710142789,-0.2290645327717969,-0.6911499994006567,-0.017458157140877,-1.178220630310455,-2.589324357107768,0.6862302490735974,0.6092489715965963,-0.0025093856686951,1.7781021736514786
2017-01-13,-1.8937561637014828,-1.9450561561001705,-0.6052636171138738,-1.7661940654057782,-1.1258422510404773,-0.4314824728527819,-1.1064775943889738,-0.2459062925649605,1.890972984430952,-0.8859692476450532,-1.7931617440390712,-0.0298297641985656,0.339593731540655,0.3715158559234691,-0.2954130281512171,3.0233714994536647,-0.8319447894364526,-1.034851178898608,-1.4577704555848972,1.8300049664669955,,-1.5876365961934362,1.2013802843425831,-1.731491156434096,-0.6304138974870678,-1.8719707239427417,-1.6638777681748274,-0.2826257393458329,,-1.1080707126924083,-0.5195991740497793,-0.5774615650335577,0.5258825612478135,0.6926771017259484,-0.5596007950039432,-1.844294056244829,-1.832352585482676,-1.3342947338563742,-0.5632539388284343,1.1243099169819688,-0.3266625895862519,-1.5660234111476914,-2.23307010647639,-1.939914935830743,1.728812481735135,0.2365402436403401,,1.3875948737904618,0.6883802928709271,-0.8477410210679021,0.3127991175949507,-2.030474972753614,0.8368432595522677,-0.5758023705102815,0.4589721881407874,-1.236879087627476,0.2238392811971928,0.8231999557709614,-1.093299586794897,-1.8190503606354385,-0.8909128184727253,1.0214187942335835,0.5224596383231949,-1.6230777539801409,-1.097527109347745,0.1664609661004058,-1.6228289561163098,-2.0157937278832114,-0.7078232096935257,-2.4892930425331508,-1.6740693639352895,-0.2351682815716919,-0.0057753064969015,0.1352216982043388,-0.8388104794119166,0.112989830589767,-0.2346574399193174,-0.4777752316678695,1.5852814830124056,-1.6904178941472088,-1.455399515499628,0.6318829062752853,-1.3366527451127783,-0.3289924292839781,-0.403776876621174,-0.6623837194660264,-0.0686424507202814,-0.1676808019048614,-0.6041246615550042,-0.0193397042701404,-1.0949106804763709,-2.5465693677250703,0.6291807786841762,0.6241354576069028,0.1898296036123484,1.84955417398724
