,time,1105,1520,1827,2852,4534,5851,7139,7883,8202,8371,8853,8941,9054,9077,9511,9641,11001,11429,11447,11485,11741,11939,11988,12038,12299,12327,13019,14340,15045,15741,16318,18536,19016,19113,19672,19684,20824,21242,21297,22208,22877,25055,25472,25865,26126,27035,27323,28310,29696,30481,31123,33108,33329,33487,33871,34041,34079,34304,34700,35881,36112,36345,36751,37096,38111,38880,38896,39534,39582,39615,40395,40527,41540,41587,41919,42012,42028,42049,42300,42897,44827,45178,45183,45266,46358,47359,47520,48638,48738,48921,49000,49139,50510,50531,50646,51380,51869,52327,53045
13,2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2022-04-30,0.85,1.2,1.12,,1.12,0.8,3.15,,3.65,1.42,1.39,1.95,0.66,1.12,5.33,1.16,,2.74,3.21,1.97,0.69,2.55,1.34,3.18,1.38,1.35,1.2,,,1.7,,2.64,1.97,4.11,,2.13,1.98,,,1.97,1.17,2.93,,1.92,3.48,1.54,1.99,,3.27,2.93,,1.89,0.97,1.84,,1.47,2.23,1.18,0.67,1.72,,3.11,2.3,4.49,,3.04,3.14,1.32,1.64,1.4,0.84,,2.89,5.53,2.51,1.95,1.12,0.68,2.45,1.48,1.86,0.75,3.06,1.12,1.11,1.44,0.81,2.87,2.13,4.03,2.4,3.56,2.04,3.41,1.2,2.86,0.54,5.56,3.31
15,2022-05-03,,,,6.36,,,,,,,,,,,,,3.33,,,,,,,,,,,2.71,,,,,,,,,,3.24,2.03,,,,3.21,,,,,,,,,,,,,,,,,,,,,,1.97,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2022-05-05,1.23,1.15,,,,0.97,,,,,,,,,,,,4.18,4.46,5.22,,,1.74,,2.62,,,,7.0,,,1.97,,,2.06,2.47,,,,,,,,,,,2.09,2.3,,,2.04,,,2.77,,,,,0.66,,4.2,4.4,,,,4.72,,,,,,,,5.28,,,,,,,,,6.36,,2.49,2.71,1.41,,,,,5.58,,0.24,,,1.26,,
17,2022-05-10,1.08,,1.44,,1.53,1.01,3.09,2.37,4.32,2.32,1.99,,,,6.87,2.3,,5.41,2.6,4.53,,,,,3.06,,0.93,,7.0,3.14,2.93,,,6.47,,2.84,3.15,,,2.24,1.14,,,,4.59,1.2,,1.2,4.52,,2.24,2.82,1.31,,2.72,2.66,4.03,1.33,0.66,1.8,3.08,4.52,3.91,5.78,,4.72,3.85,2.49,2.37,1.74,,,1.35,,5.78,,,,2.64,0.89,2.78,1.2,,,1.78,2.04,1.25,,,5.07,3.03,,2.5,4.53,1.5,4.95,0.85,7.0,4.35
18,2022-05-15,,1.87,1.86,,1.52,1.01,,2.48,4.57,2.98,2.04,3.71,1.92,,6.65,2.2,,5.68,3.91,4.57,1.88,4.78,3.39,4.99,2.2,1.61,0.57,,7.0,3.84,,4.0,3.05,6.82,2.41,2.96,3.66,,,2.26,1.28,,,4.24,4.62,2.47,3.76,1.05,5.35,4.94,2.04,2.87,,3.03,2.51,2.82,3.91,1.86,0.56,2.04,1.52,4.35,4.49,4.66,,5.07,5.99,3.05,1.62,1.74,0.76,,5.18,6.65,6.53,,,,2.75,,,1.2,4.75,1.96,1.43,2.1,1.58,5.38,2.93,4.83,3.7,4.75,2.82,3.96,1.59,4.35,0.78,7.0,5.27
19,2022-05-18,,,,5.15,,,,,,,,,,,,,4.24,,,,,,,,,,,2.4,,,,,,,,,,4.99,6.3,,,,4.63,,,,,,,,,,,,,,,,,,,,,,6.06,,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2022-05-20,0.94,2.61,2.38,,,1.04,6.18,1.99,,3.24,1.97,3.69,2.43,2.13,5.95,,,5.9,3.53,4.44,,4.45,3.34,4.88,2.3,1.35,,,5.3,,3.81,3.13,,5.95,2.58,2.45,4.23,,,2.1,,4.11,,6.06,3.7,3.01,2.87,0.83,5.47,5.1,1.69,2.63,,2.94,2.93,3.05,3.68,2.15,0.91,1.92,,3.73,5.32,4.07,,,5.53,2.7,0.78,1.66,1.26,,4.66,6.18,6.47,4.94,,,2.59,,3.03,1.31,5.07,3.16,2.52,3.18,1.88,4.56,4.59,,,,3.02,,1.57,4.45,0.88,7.0,5.38
21,2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2022-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
